DEPT,TENS,BHVT,AHVT,BS,GR,CALI,RHOB,NPHI,LLD,LLS,MSFL,SP,DHTN
8435.75,1339.0748,1096.0985,422.521,12.25,95.3274,12.2771,2.3136,47.0544,1.5517,1.2746,0.7974,142.2869,1663.0814
8436,1340.4501,1096.0985,422.521,12.25,96.2462,12.2771,2.3136,43.2187,1.6278,1.4296,0.7974,142.2869,1680.8281
8436.25,1338.5247,1095.6871,422.3623,12.25,96.2462,12.251,2.3493,43.2187,1.6278,1.4296,0.863,139.5236,1680.8281
8436.5,1335.3662,1095.6871,422.3623,12.25,94.2634,12.251,2.3493,44.8627,1.6476,1.5639,0.863,139.5236,1688.0718
8436.75,1332.8374,1095.2767,422.2046,12.25,94.2634,12.2592,2.3449,44.8627,1.6476,1.5639,0.827,138.7918,1688.0718
8437,1329.3506,1095.2767,422.2046,12.25,90.4026,12.2592,2.3449,44.4218,1.7031,1.437,0.827,138.7918,1688.0718
8437.25,1326.9196,1094.8702,422.0508,12.25,90.4026,12.2716,2.3225,44.4218,1.7031,1.437,0.8931,139.4375,1682.2769
8437.5,1325.9435,1094.8702,422.0508,12.25,90.4671,12.2716,2.3225,42.9751,1.9368,1.4518,0.8931,139.4375,1682.2769
8437.75,1327.6825,1094.4507,421.8839,12.25,90.4671,12.4449,2.3366,42.9751,1.9368,1.4518,0.8201,139.6732,1682.2769
8438,1330.566,1094.4507,421.8839,12.25,95.8351,12.4449,2.3366,45.0089,2.3186,1.8017,0.8201,139.6732,1668.5142
8438.25,1333.84,1094.03,421.7159,12.25,95.8351,12.3128,2.4219,45.0089,2.3186,1.8017,1.3901,140.2971,1668.5142
8438.5,1337.2559,1094.03,421.7159,12.25,92.0388,12.3128,2.4219,36.8836,2.993,2.2792,1.3901,140.2971,1668.5142
8438.75,1339.7847,1093.6163,421.5547,12.25,92.0388,12.3156,2.5154,36.8836,2.993,2.2792,1.7705,142.0657,1667.0654
8439,1338.2142,1093.6163,421.5547,12.25,79.8357,12.3156,2.5154,29.4017,4.2767,3.1645,1.7705,142.0657,1667.0654
8439.25,1333.5295,1093.2036,421.3947,12.25,79.8357,12.3128,2.4678,29.4017,4.2767,3.1645,1.5699,145.493,1681.5525
8439.5,1329.0488,1093.2036,421.3947,12.25,71.1389,12.3128,2.4678,27.0358,5.6812,4.078,1.5699,145.493,1681.5525
8439.75,1326.254,1092.7904,421.234,12.25,71.1389,12.3046,2.3245,27.0358,5.6812,4.078,1.1103,146.6227,1681.5525
8440,1323.6455,1092.7904,421.234,12.25,63.4575,12.3046,2.3245,27.2913,6.1088,4.2526,1.1103,146.6227,1688.796
8440.25,1322.2437,1092.3773,421.0735,12.25,63.4575,12.3238,2.2559,27.2913,6.1088,4.2526,0.9596,145.6187,1688.796
8440.5,1322.5453,1092.3773,421.0735,12.25,59.6451,12.3238,2.2559,27.1142,6.5947,4.4238,0.9596,145.6187,1661.9949
8440.75,1321.7467,1091.963,420.9118,12.25,59.6451,12.3335,2.251,27.1142,6.5947,4.4238,0.8729,145.7729,1661.9949
8441,1320.5668,1091.963,420.9118,12.25,61.3055,12.3335,2.251,27.9402,7.6867,4.7374,0.8729,145.7729,1661.9949
8441.25,1319.9812,1091.5477,420.7492,12.25,61.3055,12.3596,2.2477,27.9402,7.6867,4.7374,0.8337,144.795,1661.9949
8441.5,1321.2233,1091.5477,420.7492,12.25,61.6198,12.3596,2.2477,29.6301,8.6165,5.0023,0.8337,144.795,1648.2321
8441.75,1322.7228,1091.1311,420.5852,12.25,61.6198,12.3541,2.2401,29.6301,8.6165,5.0023,0.811,143.9775,1648.2321
8442,1323.3705,1091.1311,420.5852,12.25,62.6999,12.3541,2.2401,28.5836,10.2338,5.5078,0.811,143.9775,1648.9565
8442.25,1322.7583,1090.7148,420.4216,12.25,62.6999,12.35,2.2449,28.5836,10.2338,5.5078,0.8724,143.2225,1648.9565
8442.5,1320.6023,1090.7148,420.4216,12.25,62.2243,12.35,2.2449,23.0477,12.899,6.6854,0.8724,143.2225,1648.9565
8442.75,1318.0648,1090.3013,420.2607,12.25,62.2243,12.2963,2.3149,23.0477,12.899,6.6854,1.732,141.6228,1660.5463
8443,1314.6133,1090.3013,420.2607,12.25,54.3254,12.2963,2.3149,20.8284,16.3923,8.3143,1.732,141.6228,1660.5463
8443.25,1312.1112,1089.8887,420.1007,12.25,54.3254,12.2991,2.433,20.8284,16.3923,8.3143,4.3108,141.2658,1650.043
8443.5,1311.1263,1089.8887,420.1007,12.25,53.9788,12.2991,2.433,17.7184,19.4407,10.5725,4.3108,141.2658,1650.043
8443.75,1312.7855,1089.476,419.9406,12.25,53.9788,12.3293,2.5202,17.7184,19.4407,10.5725,7.4157,141.1158,1650.043
8444,1313.238,1089.476,419.9406,12.25,59.5484,12.3293,2.5202,15.6289,20.3717,12.7011,7.4157,141.1158,1650.043
8444.25,1312.892,1089.0614,419.7787,12.25,59.5484,12.3335,2.5432,15.6289,20.3717,12.7011,5.0004,140.775,1637.3668
8444.5,1312.2444,1089.0614,419.7787,12.25,59.4839,12.3335,2.5432,15.5066,16.4951,10.1295,5.0004,140.775,1637.3668
8444.75,1312.2355,1088.6467,419.6166,12.25,59.4839,12.3266,2.5055,15.5066,16.4951,10.1295,2.3751,140.2725,1638.0911
8445,1311.2684,1088.6467,419.6166,12.25,57.2512,12.3266,2.5055,18.6612,11.7583,7.1699,2.3751,140.2725,1638.0911
8445.25,1309.6536,1088.2334,419.4559,12.25,57.2512,12.3018,2.4443,18.6612,11.7583,7.1699,1.4013,139.7039,1638.0911
8445.5,1309.2632,1088.2334,419.4559,12.25,59.5081,12.3018,2.4443,22.8517,9.198,5.5444,1.4013,139.7039,1634.4694
8445.75,1309.7866,1087.8207,419.2957,12.25,59.5081,12.3046,2.3971,22.8517,9.198,5.5444,1.1929,139.3757,1634.4694
8446,1309.7866,1087.8207,419.2957,12.25,65.7063,12.3046,2.3971,27.0022,8.0673,4.8841,1.1929,139.3757,1628.3123
8446.25,1308.7841,1087.4078,419.1355,12.25,65.7063,12.3128,2.3624,27.0022,8.0673,4.8841,1.1468,139.6918,1628.3123
8446.5,1308.5444,1087.4078,419.1355,12.25,70.0991,12.3128,2.3624,28.527,7.6955,4.7535,1.1468,139.6918,1628.3123
8446.75,1308.6953,1086.9939,418.9741,12.25,70.0991,12.3266,2.3452,28.527,7.6955,4.7535,1.3462,139.8943,1628.3123
8447,1309.3075,1086.9939,418.9741,12.25,75.4107,12.3266,2.3452,29.791,6.864,4.5268,1.3462,139.8943,1614.9116
8447.25,1309.2188,1086.5796,418.8123,12.25,75.4107,12.3252,2.3386,29.791,6.864,4.5268,1.5848,138.6993,1614.9116
8447.5,1310.257,1086.5796,418.8123,12.25,81.0851,12.3252,2.3386,28.2782,6.426,4.299,1.5848,138.6993,1618.5334
8447.75,1310.9844,1086.1652,418.6506,12.25,81.0851,12.3293,2.3226,28.2782,6.426,4.299,1.5348,135.1125,1618.5334
